name,team,bats,throws
michael lorenzen,COL,R,R
michael massey,KC,L,R
michael mcgreevy,STL,L,R
michael petersen,MIA,R,R
michael siani,LAD,L,L
michael soroka,ARI,R,R
michael wacha,KC,R,R
michel otanez,TEX,R,R
mick abel,MIN,R,R
mickey gasper,BOS,S,R
mickey moniak,COL,L,R
miguel amaya,CHC,R,R
miguel andujar,SD,R,R
miguel mendez,SD,R,R
miguel rojas,LAD,R,R
miguel ullola,HOU,R,R
miguel vargas,CWS,R,R
mike burrows,HOU,R,R
mike trout,LAA,R,R
mike vasil,CWS,L,R
mike yastrzemski,ATL,L,L
miles mastrobuoni,SEA,L,R
miles mikolas,WSH,R,R
mitch bratt,ARI,L,L
mitch farris,LAA,L,L
mitch garver,SEA,R,R
mitch keller,PIT,R,R
mitch spence,KC,R,R
mitchell parker,WSH,L,L
mj melendez,NYM,L,R
moises ballesteros,CHC,L,R
moises chace,PHI,R,R
mookie betts,LAD,R,R
munetaka murakami,CWS,L,R
myles straw,TOR,R,R
nacho alvarez jr,ATL,R,R
nasim nunez,WSH,S,R
nate eaton,BOS,R,R
nate pearson,HOU,R,R
nathan church,STL,L,L
nathan eovaldi,TEX,R,R
nathan lukes,TOR,L,R
nathaniel lowe,CIN,L,R
nick allen,HOU,R,R
nick castellanos,SD,R,R
nick davila,SEA,R,R
nick fortes,TB,R,R
